multiplier,income
1,10000
0.997487437,10238.41165
0.994974874,10482.37662
0.992462312,10732.02427
0.989949749,10987.48696
0.987437186,11248.90014
0.984924623,11516.40241
0.98241206,11790.13561
0.979899497,12070.24488
0.977386935,12356.87873
0.974874372,12650.18914
0.972361809,12950.33162
0.969849246,13257.46533
0.967336683,13571.7531
0.964824121,13893.36156
0.962311558,14222.46126
0.959798995,14559.22667
0.957286432,14903.83635
0.954773869,15256.47302
0.952261307,15617.32366
0.949748744,15986.57959
0.947236181,16364.43659
0.944723618,16751.09502
0.942211055,17146.75987
0.939698492,17551.64095
0.93718593,17965.95291
0.934673367,18389.91545
0.932160804,18823.75333
0.929648241,19267.6966
0.927135678,19721.98064
0.924623116,20186.84631
0.922110553,20662.5401
0.91959799,21149.31421
0.917085427,21647.42676
0.914572864,22157.14183
0.912060302,22678.72969
0.909547739,23212.4669
0.907035176,23758.63644
0.904522613,24317.5279
0.90201005,24889.43762
0.899497487,25474.66883
0.896984925,26073.53182
0.894472362,26686.34413
0.891959799,27313.43066
0.889447236,27955.12392
0.886934673,28611.76414
0.884422111,29283.69947
0.881909548,29971.28618
0.879396985,30674.88885
0.876884422,31394.88053
0.874371859,32131.64296
0.871859296,32885.5668
0.869346734,33657.05179
0.866834171,34446.50696
0.864321608,35254.35091
0.861809045,36081.01197
0.859296482,36926.92843
0.85678392,37792.54882
0.854271357,38678.33209
0.851758794,39584.74791
0.849246231,40512.27687
0.846733668,41461.41075
0.844221106,42432.6528
0.841708543,43426.51798
0.83919598,44443.53326
0.836683417,45484.23787
0.834170854,46549.1836
0.831658291,47638.9351
0.829145729,48754.07018
0.826633166,49895.18009
0.824120603,51062.86986
0.82160804,52257.75862
0.819095477,53480.47992
0.816582915,54731.68206
0.814070352,56012.02843
0.811557789,57322.19791
0.809045226,58662.88515
0.806532663,60034.80101
0.804020101,61438.6729
0.801507538,62875.24516
0.798994975,64345.27949
0.796482412,65849.55531
0.793969849,67388.87023
0.791457286,68964.04039
0.788944724,70575.90098
0.786432161,72225.30663
0.783919598,73913.13186
0.781407035,75640.2716
0.778894472,77407.6416
0.77638191,79216.17892
0.773869347,81066.8425
0.771356784,82960.61356
0.768844221,84898.49622
0.766331658,86881.51797
0.763819095,88910.73022
0.761306533,90987.20891
0.75879397,93112.05499
0.756281407,95286.3951
0.753768844,97511.38209
0.751256281,99788.19569
0.748743719,102118.0431
0.746231156,104502.1596
0.743718593,106941.8093
0.74120603,109438.2858
0.738693467,111992.9127
0.736180905,114607.0445
0.733668342,117282.0672
0.731155779,120019.3992
0.728643216,122820.4919
0.726130653,125686.8304
0.72361809,128619.9345
0.721105528,131621.3593
0.718592965,134692.6964
0.716080402,137835.574
0.713567839,141051.6587
0.711055276,144342.6557
0.708542714,147710.3098
0.706030151,151156.4066
0.703517588,154682.7733
0.701005025,158291.2797
0.698492462,161983.839
0.695979899,165762.409
0.693467337,169628.9933
0.690954774,173585.6418
0.688442211,177634.4526
0.685929648,181777.5722
0.683417085,186017.1976
0.680904523,190355.5764
0.67839196,194795.0091
0.675879397,199337.8495
0.673366834,203986.5062
0.670854271,208743.4441
0.668341709,213611.1852
0.665829146,218592.3106
0.663316583,223689.4614
0.66080402,228905.34
0.658291457,234242.7121
0.655778894,239704.4075
0.653266332,245293.3221
0.650753769,251012.4193
0.648241206,256864.7314
0.645728643,262853.3613
0.64321608,268981.4843
0.640703518,275252.3497
0.638190955,281669.2823
0.635678392,288235.6844
0.633165829,294955.0377
0.630653266,301830.9049
0.628140704,308866.9316
0.625628141,316066.8483
0.623115578,323434.4727
0.620603015,330973.7111
0.618090452,338688.561
0.615577889,346583.1127
0.613065327,354661.5522
0.610552764,362928.1628
0.608040201,371387.3274
0.605527638,380043.5313
0.603015075,388901.364
0.600502513,397965.5222
0.59798995,407240.8118
0.595477387,416732.1506
0.592964824,426444.5711
0.590452261,436383.2229
0.587939698,446553.3757
0.585427136,456960.4218
0.582914573,467609.8791
0.58040201,478507.3941
0.577889447,489658.7449
0.575376884,501069.844
0.572864322,512746.7417
0.570351759,524695.6293
0.567839196,536922.8423
0.565326633,549434.8637
0.56281407,562238.3274
0.560301508,575340.0222
0.557788945,588746.8946
0.555276382,602466.0532
0.552763819,616504.772
0.550251256,630870.4947
0.547738693,645570.838
0.545226131,660613.5962
0.542713568,676006.7454
0.540201005,691758.447
0.537688442,707877.0529
0.535175879,724371.1094
0.532663317,741249.3617
0.530150754,758520.7591
0.527638191,776194.459
0.525125628,794279.8323
0.522613065,812786.468
0.520100503,831724.1787
0.51758794,851103.0053
0.515075377,870933.2228
0.512562814,891225.3453
0.510050251,911990.1322
0.507537688,933238.593
0.505025126,954981.9941
0.502512563,977231.864
0.5,1000000
